Krank_Acisi_deg,Simscape_theta3_deg,Simscape_theta5_deg,Simscape_omega3_deg_s,Simscape_omega5_deg_s,Simscape_alpha3_deg_s2,Simscape_alpha5_deg_s2
131,-112.902426569416,-93.1975057921222,-15.2468987120928,-230.8616571797,666.66862306667,-756.239090498925
132,-112.942213031015,-93.8416424627669,-13.4014912223717,-232.893571505683,662.051379491699,-706.187383333541
133,-112.976890970028,-94.4912259752038,-11.5686894090507,-234.781846633358,657.591903628284,-652.816546121084
134,-113.006494798456,-95.1458445141559,-9.74806033415017,-236.517251684281,653.286362888617,-596.12163484103
135,-113.031057740574,-95.8050606277746,-7.93918180681402,-238.090567950984,649.130853063748,-536.11659425721
136,-113.050611863053,-96.4684113361238,-6.14164257309848,-239.492643300113,645.121404820527,-472.835632957855
137,-113.065188105585,-97.1354083959419,-4.35504248851098,-240.714450233005,641.25398963038,-406.334476212955
138,-113.074816311962,-97.8055387313285,-2.57899267481106,-241.747147218345,637.52452518216,-336.69146341674
139,-113.079525261572,-98.4782650388005,-0.813115662434239,-242.582142818388,633.928880328181,-264.008456379659
140,-113.079342701273,-99.1530265737061,0.942954480227734,-243.211162036735,630.462879609587,-188.411525075447
141,-113.074295377609,-99.829240123265,2.68957202958544,-243.626314224495,627.122307404306,-110.051378740747
142,-113.064409069333,-100.506301169545,4.42707950065251,-243.820161795458,623.902911738249,-29.1035125482333
143,-113.049708620218,-101.183585243486,6.15580755101182,-243.785788922655,620.800407797784,54.2319565177716
144,-113.030217972112,-101.860449468695,7.87607489416491,-243.516869321448,617.810481179161,139.730786447118
145,-113.005960198225,-102.536234291168,9.58818822158011,-243.007732171059,614.928790908261,227.14545593844
146,-112.976957536631,-103.210265388396,11.2924421328471,-242.253425190108,612.150972261819,316.206368798863
147,-112.943231423935,-103.881855748585,12.9891190734261,-241.249773864902,609.472639419277,406.623419288791
148,-112.904802529117,-104.550307907883,14.6784892795604,-239.993435834007,606.889387972347,498.087912565399
149,-112.861690787516,-105.214916330834,16.3608107299899,-238.481949460768,604.396797317543,590.27482578911
150,-112.813915434935,-105.874969916614,18.0363291041769,-236.713775677682,601.990432955068,682.845386668666
151,-112.76149504186,-106.529754611163,19.7052777468131,-234.688332263232,599.665848715748,775.449937530959
152,-112.704447547763,-107.17855610317,21.3678776384346,-232.406019811997,597.418588935976,867.731044729304
153,-112.642790295481,-107.820662579909,23.0243373720278,-229.868238781205,595.244190599045,959.32680566838
154,-112.576540065651,-108.455367517488,24.6748531355587,-227.077397138718,593.13818545966,1049.87429923945
155,-112.505713111189,-109.081972478878,26.319608700394,-224.036908295517,591.096102166889,1139.0131203077
156,-112.430325191786,-109.699789892539,27.9587754156377,-220.751179175967,589.113468399386,1226.38893531532
157,-112.350391608417,-110.308145784206,29.5925122084264,-217.225588456975,587.185813025181,1311.65699424238
158,-112.265927237839,-110.906382434808,31.2209655902743,-213.466455187339,585.308668297044,1394.4855342131
159,-112.176946567062,-111.493860938288,32.8442696695745,-209.480998176155,583.477572092956,1474.55901198533
160,-112.083463727778,-112.069963634411,34.4625461703981,-205.277286708536,581.688070209922,1551.58110636669
161,-111.985492530732,-112.634096393449,36.0759044577458,-200.864183303437,579.935718718057,1625.27743713688
162,-111.883046500001,-113.18569073177,37.6844415694293,-196.25127936722,578.216086380521,1695.39795412043
163,-111.776138907194,-113.724205739934,39.2882422547725,-191.448824714085,576.524757143677,1761.71895838169
164,-111.66478280552,-114.249129807727,40.8873790203301,-186.467652017422,574.857332700577,1824.0447267895
165,-111.548991063721,-114.759982133582,42.4819121828302,-181.319097322371,573.209435129607,1882.20872107328
166,-111.428776399858,-115.256314009102,44.0718899295537,-176.014917788313,571.57670960903,1936.07437260076
167,-111.304151414904,-115.737709872588,45.6573483863585,-170.567207840412,569.95482720691,1985.53544409004
168,-111.17512862615,-116.203788128813,47.2383116935551,-164.988314892638,568.339487744768,2030.51597898421
169,-111.041720500379,-116.654201735386,48.8147920898382,-159.290755762504,566.726422732255,2070.96985796282
170,-110.903939486803,-117.088638559137,50.3867900044635,-153.487134832692,565.11139836899,2106.87998978545
171,-110.761798049727,-117.506821508726,51.9542941578486,-147.590064929856,563.490218608683,2138.25717016316
172,-110.615308700926,-117.908508452269,53.5172816707709,-141.612091789848,561.858728279663,2165.13864749974
173,-110.464484031704,-118.293491931013,55.0757181822971,-135.565622865167,560.212816254968,2187.58643806721
174,-110.309336744612,-118.66159868203,56.6295579765837,-129.462861108743,558.548418664168,2205.68543547325
175,-110.149879684805,-119.0126889845,58.178744118645,-123.315744241924,556.861522138314,2219.54136019034
176,-109.986125871006,-119.346655845354,59.7232085991698,-117.13588988769,555.148167078518,2229.27859454623
177,-109.818088526056,-119.663424040978,61.2628724884396,-110.934546825811,553.404450937888,2235.03794706016
178,-109.645781107025,-119.962949032183,62.7976460993695,-104.722552508067,551.626531505924,2236.97438751319
179,-109.469217334858,-120.245215769905,64.3274291596593,-98.5102968610472,549.810630183712,2235.25479084918
180,-109.288411223526,-120.510237409014,65.8521109930213,-92.3076923035847,547.953035237816,2230.05572410403
181,-109.103377108663,-120.758053947288,67.3715707093962,-86.1241498167168,546.050105020165,2221.56130624433
182,-108.914129675669,-120.988730806062,68.8856774040559,-79.9685608274441,544.098271140845,2209.96116624342
183,-108.720683987235,-121.202357368271,70.3942903654352,-73.8492846035564,542.094041580393,2195.44852009435
184,-108.523055510289,-121.399045488745,71.897259291511,-67.7741408057073,540.034003727844,2178.21838290188
185,-108.321260142327,-121.578927990511,73.3944245145002,-61.7504068041743,537.914827330715,2158.46592782773
186,-108.115314237106,-121.742157159787,74.8856172336145,-55.7848193407846,535.733267342905,2136.38499958455
187,-107.905234629679,-121.88890325112,76.3706597555669,-49.8835801003768,533.486166656555,2112.16678645357
188,-107.691038660758,-122.019353012918,77.8493657424906,-44.052364749807,531.170458703992,2085.9986514914
189,-107.472744200372,-122.1337082424,79.321540466888,-38.2963350047593,528.783169916013,2058.06312071941
190,-107.250369670811,-122.232184377769,80.7869810731947,-32.6201532942228,526.32142202306,2028.53702366535
191,-107.023934068829,-122.31500913424,82.2454768454999,-27.0279996082094,523.782434186186,1997.59077964562
192,-106.793456987108,-122.382421189453,83.6968094809384,-21.523590134905,521.163524945118,1965.38782161945
193,-106.558958634939,-122.434668922699,85.1407533682215,-16.110197317844,518.462113971293,1932.08414828536
194,-106.320459858136,-122.472009211441,86.5770758707569,-10.7906709908055,515.675723614259,1897.82799429008
195,-106.07798215815,-122.494706287669,88.0055376137626,-5.56746027699211,512.801980230616,1862.75960794218
196,-105.831547710386,-122.503030655816,89.4258927747582,-0.442635968860603,509.838615285329,1827.01112562438
197,-105.581179381705,-122.497258073216,90.8378893767899,4.58208686501235,506.783466216095,1790.70653213826
