Krank_Acisi_deg,Analitik_theta3_deg,Simscape_theta3_deg,Hata_theta3_deg,Analitik_theta5_deg,Simscape_theta5_deg,Hata_theta5_deg,Analitik_omega3_deg_s,Simscape_omega3_deg_s,Hata_omega3_deg_s,Analitik_omega5_deg_s,Simscape_omega5_deg_s,Hata_omega5_deg_s,Analitik_alpha3_deg_s2,Simscape_alpha3_deg_s2,Hata_alpha3_deg_s2,Analitik_alpha5_deg_s2,Simscape_alpha5_deg_s2,Hata_alpha5_deg_s2
48,-86.1583576464169,-86.1583575252049,1.21212082149214e-07,-67.0577869689827,-67.0577869689832,-4.9737991503207e-13,-232.893571233169,-232.893571542495,-3.09325969283236e-07,-13.4014912223703,-13.4014912223707,-4.70734562441066e-13,706.187384441403,706.187383322092,-1.11931126411946e-06,-662.05137949169,-662.051379491692,-2.38742359215394e-12
49,-86.8024943131672,-86.8024941959475,1.17219741468944e-07,-67.0975734305808,-67.0975734305818,-9.37916411203332e-13,-230.861656914317,-230.861657216066,-3.01749736308921e-07,-15.2468987120904,-15.2468987120912,-7.38964445190504e-13,756.239091387562,756.239090505053,-8.82508743416111e-07,-666.668623066654,-666.668623066659,-4.88853402202949e-12
50,-87.4407979220862,-87.4407978090332,1.13053033601318e-07,-67.1425040440583,-67.1425040440599,-1.64845914696343e-12,-228.695295996307,-228.695296289491,-2.93183916255657e-07,-17.1053553546289,-17.1053553546302,-1.30739863379858e-12,802.994035889921,802.994035225488,-6.64432945995941e-07,-671.447388199106,-671.447388199115,-9.32232069317251e-12
51,-88.0729076850581,-88.0729075763082,1.08749887317572e-07,-67.1926156849611,-67.1926156849638,-2.68585154117318e-12,-226.403596506199,-226.403596789965,-2.837655017629e-07,-18.9773149354416,-18.9773149354438,-2.20268248085631e-12,846.49048387856,846.490483412751,-4.65809421257291e-07,-676.391342189515,-676.391342189529,-1.39834810397588e-11
52,-88.6984879474652,-88.6984878431188,1.04346412399536e-07,-67.2479465033798,-67.2479465033839,-4.14956957683899e-12,-223.995539896433,-223.995540170068,-2.73634100267373e-07,-20.8632412969244,-20.8632412969279,-3.45323769579409e-12,886.781042289637,886.781042002729,-2.86907948066073e-07,-681.504057243604,-681.504057243628,-2.43289832724258e-11
53,-89.3172277832775,-89.3172276834006,9.9876814374511e-08,-67.3085359515061,-67.3085359515123,-6.12487838225206e-12,-221.479943382338,-221.479943645263,-2.62924800153996e-07,-22.7636080614547,-22.7636080614599,-5.24735810358834e-12,923.931094863496,923.931094735826,-1.2766906820616e-07,-686.789001110698,-686.789001110735,-3.70619090972468e-11
54,-89.928840491544,-89.9288403961711,9.53729397679126e-08,-67.3744248103845,-67.3744248103933,-8.78230821399484e-12,-218.865426607905,-218.865426859673,-2.51768227599314e-07,-24.6788983272188,-24.6788983272265,-7.69873054196069e-12,958.01725347602,958.017253488313,1.22936398838647e-08,-692.249526838893,-692.249526838948,-5.50244294572622e-11
55,-90.5330630062266,-90.5330629153623,9.08642192598563e-08,-67.4456552157765,-67.4456552157888,-1.23208110380801e-11,-216.160382569016,-216.160382809304,-2.40288500208408e-07,-26.6096043342682,-26.6096043342794,-1.11910480882216e-11,989.125844432299,989.125844565935,1.33635467136628e-07,-697.888861571944,-697.888861572025,-8.10587152955122e-11
56,-91.1296552310418,-91.1296551446642,8.63775255766086e-08,-67.522270683054,-67.5222706830708,-1.67972302733688e-11,-213.372952673479,-213.372952902082,-2.28603056484644e-07,-28.556227098034,-28.5562270980495,-1.54862789258914e-11,1017.35144616373,1017.35144640097,2.37232598010451e-07,-703.71009430824,-703.710094308353,-1.13345777208451e-10
57,-91.7183993105883,-91.7183992286514,8.19369745386211e-08,-67.6043161310256,-67.6043161310481,-2.24815721594496e-11,-210.511005775654,-210.511005992473,-2.16818534681806e-07,-30.5192760072991,-30.5192760073203,-2.11990425214026e-11,1042.79549184237,1042.79549216648,3.24110487781581e-07,-709.716162537543,-709.7161625377,-1.57228896568995e-10
