Krank_Acisi_deg,theta2_deg,theta3_deg,theta4_deg,theta5_deg,omega2_deg_s,omega3_deg_s,omega4_deg_s,omega5_deg_s,alpha2_deg_s2,alpha3_deg_s2,alpha4_deg_s2,alpha5_deg_s2,Kisit_Kalintisi_mm,Newton_Iterasyon,Jacobian_Cond
42.5,-45.8998170906929,-82.5298852005164,-138.810704645116,-66.929381109994,-164.691147308674,-241.254980772386,119.070442306424,-3.46572265861495,1507.483849583,371.899898533974,-183.109364672509,-639.37227067063,2.8421709430404e-14,4,3.08364739758699
43,-46.1270937169121,-82.8645917294941,-138.645507726539,-66.9348118944149,-162.582133798453,-240.714449941682,118.811615899296,-4.35504248851091,1529.34580289477,406.334478634508,-189.609005465227,-641.25398963038,2.8421709430404e-14,4,3.07407006001388
43.5,-46.3514203608845,-83.1985145605812,-138.480676574159,-66.9414796712425,-160.443381213687,-240.126637721115,118.543727340722,-5.24699970784253,1550.30774825508,439.983226750748,-196.158939621198,-643.170197037861,2.8421709430404e-14,4,3.06435557457119
44,-46.5727565870085,-83.531588786616,-138.316223822955,-66.949388136947,-158.276140796852,-239.492643009944,118.266706456888,-6.1416425730984,1570.36813054251,472.835635094536,-202.759631886022,-645.121404820526,2.8421709430404e-14,4,3.05450892748357
44.5,-46.7910636986013,-83.863751036354,-138.15216220582,-66.958541055514,-156.081665050213,-238.81357829481,117.980482423605,-7.03902004957305,1589.52668435401,504.882640863854,-209.411554039453,-647.108121705901,2.1316282072803e-14,4,3.04453508298323
45,-47.0063047384175,-84.1949394919543,-137.988504554469,-66.9689422594261,-153.861205971871,-238.090567663371,117.6849837566,-7.93918180681385,1607.78439427966,536.116596117552,-216.115184806345,-649.130853063746,1.4210854715202e-14,4,3.03443897828789
45.5,-47.2184444867565,-84.5250939037389,-137.825263800369,-66.9805956506379,-151.616013348511,-237.324744861869,117.380138301938,-8.84217821384382,1625.14345302029,566.531234693666,-222.871009759148,-651.190100740925,2.8421709430404e-14,4,3.02422551880197
46,-47.4274494572395,-84.854155602285,-137.662452975666,-66.9935052015434,-149.347333107675,-236.517251400535,117.065873226584,-9.74806033414959,1641.60721760497,596.121636436343,-229.67952121166,-653.286362888614,1.4210854715202e-14,4,3.0138995735439
46.5,-47.6332878903415,-85.1820675079227,-137.500085214146,-67.0076749559379,-147.056405732002,-235.669234710397,116.742115009118,-10.6568799204236,1657.18016396129,624.884188995973,-236.541218103718,-655.420133781459,1.4210854715202e-14,4,3.0034659708017
47,-47.8359297447646,-85.5087741377096,-137.338173752186,-67.0231090299704,-144.744464737583,-234.781846354683,116.408789430616,-11.56868940905,1671.86784008717,652.816547464965,-243.456605876491,-657.591903628278,2.8421709430404e-14,4,2.992929494018
47.5,-48.0353466867433,-85.834221609961,-137.176731929738,-67.03981161309,-142.412735218174,-233.856240297627,116.065821565719,-12.4835419143206,1685.67681806613,679.917592108093,-250.426196338028,-659.802158373897,3.5527136788005e-14,4,2.98229487790486
48,-48.2315120773749,-86.1583576464169,-137.015773191311,-67.0577869689827,-140.062432456723,-232.893571233169,115.713135773883,-13.4014912223702,1698.61464516132,706.187384441403,-257.450507518695,-662.051379491689,2.8421709430404e-14,4,2.97156680478794
48.5,-48.4244009580689,-86.4811315721309,-136.855311086971,-67.0770394365005,-137.694760605331,-231.894992975654,115.350655690843,-14.3225917848163,1710.68979421504,731.62712190746,-264.530063516132,-664.340043766379,2.8421709430404e-14,4,2.96074990117887
49,-48.6139900342105,-86.8024943131672,-136.695359273356,-67.0975734305808,-135.31091143446,-230.861656914317,114.978304220308,-15.2468987120904,1721.91161357171,756.239091387562,-271.665394329333,-666.668623066653,1.4210854715202e-14,4,2.94984873457394
49.5,-48.8002576571358,-87.1223983921974,-136.535931514692,-67.119393443157,-132.9120631519,-229.794710533011,114.596003525876,-16.1744677664461,1732.2902767321,780.026621783175,-278.85703568143,-669.037584107118,1.4210854715202e-14,4,2.93886781047658
50,-48.9831838045151,-87.4407979220862,-136.377041683832,-67.1425040440583,-130.499379291733,-228.695295996307,114.203675023221,-17.1053553546289,1741.83673193671,802.994035889921,-286.105528830775,-671.447388199106,1.4210854715202e-14,4,2.92781156964049
50.5,-49.1627500592416,-87.7576485975613,-136.218703763295,-67.1669098818997,-128.074007673259,-227.564548802806,113.801239372541,-18.039618520192,1750.56265186481,825.146601777487,-293.411420369857,-673.898490989854,1.4210854715202e-14,4,2.91668438552979
51,-49.3389395869229,-88.0729076850581,-136.060931846327,-67.1926156849611,-125.637079429606,-226.403596506199,113.388616471295,-18.9773149354415,1758.48038362463,846.490483878561,-300.775262011604,-676.391342189515,2.8421709430404e-14,4,2.90549056199203
